number,name,FIPS,Cancer
0,"alabama,autauga",1001.0,4.0
1,"alabama,baldwin",1003.0,3.0
2,"alabama,barbour",1005.0,4.0
3,"alabama,bibb",1007.0,5.0
4,"alabama,blount",1009.0,4.0
5,"alabama,bullock",1011.0,
6,"alabama,butler",1013.0,4.0
7,"alabama,calhoun",1015.0,4.0
8,"alabama,chambers",1017.0,4.0
9,"alabama,cherokee",1019.0,5.0
10,"alabama,chilton",1021.0,3.0
11,"alabama,choctaw",1023.0,2.0
12,"alabama,clarke",1025.0,3.0
13,"alabama,clay",1027.0,5.0
14,"alabama,cleburne",1029.0,5.0
15,"alabama,coffee",1031.0,3.0
16,"alabama,colbert",1033.0,4.0
17,"alabama,conecuh",1035.0,5.0
18,"alabama,coosa",1037.0,5.0
19,"alabama,covington",1039.0,4.0
20,"alabama,crenshaw",1041.0,4.0
21,"alabama,cullman",1043.0,5.0
22,"alabama,dale",1045.0,4.0
23,"alabama,dallas",1047.0,3.0
24,"alabama,de kalb",1049.0,4.0
25,"alabama,elmore",1051.0,3.0
26,"alabama,escambia",1053.0,4.0
27,"alabama,etowah",1055.0,4.0
28,"alabama,fayette",1057.0,4.0
29,"alabama,franklin",1059.0,5.0
30,"alabama,geneva",1061.0,5.0
31,"alabama,greene",1063.0,2.0
32,"alabama,hale",1065.0,
33,"alabama,henry",1067.0,3.0
34,"alabama,houston",1069.0,3.0
35,"alabama,jackson",1071.0,5.0
36,"alabama,jefferson",1073.0,3.0
37,"alabama,lamar",1075.0,5.0
38,"alabama,lauderdale",1077.0,3.0
39,"alabama,lawrence",1079.0,5.0
40,"alabama,lee",1081.0,3.0
41,"alabama,limestone",1083.0,4.0
42,"alabama,lowndes",1085.0,5.0
43,"alabama,macon",1087.0,3.0
44,"alabama,madison",1089.0,3.0
45,"alabama,marengo",1091.0,2.0
46,"alabama,marion",1093.0,5.0
47,"alabama,marshall",1095.0,4.0
48,"alabama,mobile",1097.0,3.0
49,"alabama,monroe",1099.0,2.0
50,"alabama,montgomery",1101.0,3.0
51,"alabama,morgan",1103.0,4.0
52,"alabama,perry",1105.0,3.0
53,"alabama,pickens",1107.0,2.0
54,"alabama,pike",1109.0,2.0
55,"alabama,randolph",1111.0,5.0
56,"alabama,russell",1113.0,5.0
57,"alabama,st clair",1115.0,4.0
58,"alabama,shelby",1117.0,3.0
59,"alabama,sumter",1119.0,2.0
60,"alabama,talladega",1121.0,4.0
61,"alabama,tallapoosa",1123.0,5.0
62,"alabama,tuscaloosa",1125.0,4.0
63,"alabama,walker",1127.0,5.0
64,"alabama,washington",1129.0,3.0
65,"alabama,wilcox",1131.0,3.0
66,"alabama,winston",1133.0,5.0
67,"arizona,apache",4001.0,1.0
68,"arizona,cochise",4003.0,1.0
69,"arizona,coconino",4005.0,1.0
70,"arizona,gila",4007.0,1.0
71,"arizona,graham",4009.0,1.0
72,"arizona,greenlee",4011.0,1.0
73,"arizona,maricopa",4013.0,1.0
74,"arizona,mohave",4015.0,4.0
75,"arizona,navajo",4017.0,1.0
76,"arizona,pima",4019.0,1.0
77,"arizona,pinal",4021.0,1.0
78,"arizona,santa cruz",4023.0,1.0
79,"arizona,yavapai",4025.0,1.0
80,"arizona,yuma",4027.0,1.0
81,"arkansas,arkansas",5001.0,5.0
82,"arkansas,ashley",5003.0,4.0
83,"arkansas,baxter",5005.0,4.0
84,"arkansas,benton",5007.0,2.0
85,"arkansas,boone",5009.0,3.0
86,"arkansas,bradley",5011.0,5.0
87,"arkansas,calhoun",5013.0,
88,"arkansas,carroll",5015.0,4.0
89,"arkansas,chicot",5017.0,5.0
90,"arkansas,clark",5019.0,4.0
91,"arkansas,clay",5021.0,5.0
92,"arkansas,cleburne",5023.0,5.0
93,"arkansas,cleveland",5025.0,5.0
94,"arkansas,columbia",5027.0,3.0
95,"arkansas,conway",5029.0,5.0
96,"arkansas,craighead",5031.0,3.0
97,"arkansas,crawford",5033.0,5.0
98,"arkansas,crittenden",5035.0,4.0
99,"arkansas,cross",5037.0,5.0
100,"arkansas,dallas",5039.0,
101,"arkansas,desha",5041.0,5.0
102,"arkansas,drew",5043.0,5.0
103,"arkansas,faulkner",5045.0,4.0
104,"arkansas,franklin",5047.0,3.0
105,"arkansas,fulton",5049.0,3.0
106,"arkansas,garland",5051.0,4.0
107,"arkansas,grant",5053.0,5.0
108,"arkansas,greene",5055.0,3.0
